Scale,85,90,92,93,95,100
Scale 1,149744.7,165585,172337.3,175447,181767,197986.3
Scale 2,214583.7,nan,236628,239845,246246.3,262019
Scale 3,1122223,1138365,1144881,1148195,1154577,1170717
Scale 4,375233,390528.7,396670.6,399613.4,405715,421014.6
Scale 5,392734.6,408291,414778,417824.3,424260.7,439867.4
Scale 6,276881,292497,298652.3,301803.4,308122,323754
Scale 7,165534,180233.3,186097.7,189203.3,195028.7,209695
Scale 8,337626,352896.4,358906.3,361989,368096,383414
Scale 9,249567.7,265499.4,271854,275129,281505.7,297453
Scale 10,299190.7,315063.4,321376.3,324532.7,330839.7,346745
Scale 11,248194.7,264456.7,270961.6,274189,280713.7,297097
Scale 12,353253.6,367424.7,373042.7,375768.3,381550.3,395916.6
Scale 13,251899.7,267184,273356.7,276455,282632.3,297916.7
Scale 14,337002.6,351870.3,357866.3,361119,366945.3,382015.3
Scale 15,388595,404303.6,410559.7,413628,419843.3,435548.6
Scale 16,237951.7,252878.3,258896,261954,268005,282934.6
